Carat,Clarity,Color,Depth,Table,Price,Lab,Dealer
2,SI1,D,61,62,22399.2,D,225
1.37,VS2,K,62.59999847,61,7291.4825,J,224
1,VVS2,K,62.79999924,61,5352.75,J,224
1,VS2,G,62.70000076,,7152.25,D,96
1,SI1,D,63.79999924,,7579.25,D,96
1.01,SI1,G,60.20000076,,6931.125,D,96
1.12,VS1,I,62.79999924,63,7327.32,J,224
1.15,SI1,I,56.40000153,62,6313.5,J,121
1.01,VS2,G,58.29999924,,7223.7725,D,96
1.03,VVS2,J,65.90000153,62,5466.21,J,224
1,SI1,H,,,6862.5,J,113
1.17,VS2,K,61.59999847,60,5852.34,J,224
0.9,VS2,F,64.09999847,61,6670.35,J,224
1.15,VS1,I,61.29999924,59,7330.675,J,121
1.01,VVS2,K,64.59999847,60,4921.09875,J,224
1.01,IF,J,62.79999924,61,6130.195,J,224
1.06,VVS2,I,61.40000153,60,7193.425,J,224
0.53,VS2,G,59.20000076,59,2364.13125,J,6
1.25,IF,I,62.70000076,57,10408.125,J,224
1,VS1,I,66.19999695,61,5703.5,J,224
1.15,VS1,I,62.20000076,62,7523.5875,J,224
1.13,VVS2,H,61.20000076,60,9012.5975,J,224
1,VVS2,H,62.90000153,59,7975.75,J,224
0.92,IF,E,59.79999924,60,9750.85,J,3
0.51,SI2,F,,,1497.16875,none,26
0.54,VS2,I,63.59999847,58,1708.7625,none,6
0.54,VS1,F,62.5,64,2696.9625,J,6
1,VS2,H,63.90000153,61,6976.875,J,224
1.04,VS1,H,64.69999695,60,7612.8,J,224
1,VS1,H,67.69999695,56,6641.375,J,224
1,VS1,H,61.79999924,66,6931.125,J,224
1.21,VVS2,G,61.70000076,60,11089.9525,J,224
1.02,VS1,G,59.09999847,61,8741.91,J,224
1.03,SI1,F,64.09999847,62,7139.05875,J,224
1.51,SI1,G,59,63,14726.08625,D,224
1,SI1,F,68.30000305,64,6641.375,J,224
1,VS1,E,63.79999924,61,9760,J,224
0.7,SI1,F,60.06940079,62,3261.2125,I,220
0.75,SI1,G,59.54199982,64,3419.8125,I,220
2.13,VS2,H,61,57,26018.4825,J,224
2.45,VS1,J,58.40000153,57,19988.9375,J,224
3.06,SI2,F,58,62,23799.15,D,112
2.58,SI2,G,64.19999695,60,14557.65,D,112
1.13,VS2,K,59.09999847,61,5652.26,J,224
1.2,VS1,F,63.5,56,12562.95,J,224
1.01,VS2,F,63.20000076,58,8656.205,J,224
1.03,VVS2,F,67.5,60,8764.785,J,224
1,VS1,H,59.5,61,7617.375,J,224
1.09,VS2,H,61.20000076,58,7912.31,J,224
2.45,VS2,G,63.20000076,60,26228.475,D,112
2.63,SI1,F,60.29999924,62,28356.0025,D,112
1.02,VS1,H,60.5,61,7769.7225,J,224
2.32,VS2,F,62.70000076,60,22360.16,D,112
2.24,VS2,H,59.79999924,60,19642,D,112
2.25,VS2,G,59.90000153,62,24018.75,D,112
1.01,VS1,H,61.29999924,59,7693.54875,J,224
1.12,VS1,H,61.70000076,57,8531.46,J,224
1.01,VS2,J,60.90000153,61,5529.4975,J,224
2.12,VS1,G,61.20000076,60,25120.41,D,112
2.16,SI2,F,63.29999924,60,11858.4,D,112
2.08,SI2,D,60.90000153,60,14844.96,D,112
1.21,VS2,J,57.59999847,62,6624.4475,J,224
2.17,SI2,D,60,60,17274.285,D,112
0.55,SI2,K,61.20000076,62,1195.21875,none,6
1.03,VS2,J,60.59999847,60,5638.9925,J,224
1.08,VS2,J,62.40000153,60,5682.15,J,224
1.01,SI1,I,64.19999695,60,5544.9,J,224
1.05,VS1,I,60,61,6605.15625,J,224
1.15,VVS2,F,61.29999924,60,11224,J,224
0.55,SI1,J,57.09999847,64,1446.84375,none,6
1.51,VVS2,I,62.90000153,57,14657.00375,J,224
1.55,SI1,G,59.09999847,60,10873.25,D,112
1.63,VS1,G,60.70000076,60,10937.3,D,112
1.52,SI1,F,58.90000153,60,12806.95,D,112
1.15,SI2,E,58.90000153,57,8523.225,J,224
1.55,SI2,D,63.90000153,60,11818.75,D,112
0.44,SI1,D,60,62,1308.45,J,224
1.5,SI2,D,62,62,10705.5,D,112
0.73,VS2,F,60.79999924,57,4619.9875,J,224
0.66,SI1,F,61.70000076,54,3100.02,J,224
1.52,VS1,E,60.59999847,58,18984.42,J,224
1.26,SI1,H,62.40000153,60,5572.35,D,112
0.55,VS2,J,62.40000153,61,1551.6875,none,6
1.18,VS1,I,62.40000153,56,7719.855,J,224
1.06,VS1,F,60.79999924,54,10846.715,J,224
1.3,VS2,F,59.20000076,60,9912.5,D,112
1.01,SI1,I,62.70000076,60,5544.9,J,224
1.04,SI1,I,61.40000153,59,5939.57,J,224
0.71,SI2,F,63.5,58,3026.28625,J,161
1,VS2,I,61.59999847,60,6069.5,J,224
1.02,SI1,H,62.5,59,6797.535,J,224
1.15,SI1,I,60.70000076,59,6567.79375,J,224
1.14,SI1,I,60.79999924,59,6510.6825,J,224
1.08,SI1,H,61.5,59,7197.39,J,224
0.9,VS2,H,61.29999924,54,5929.2,J,161
1.7,SI1,J,60.5,60,10979.2375,J,224
2.25,VS2,F,61.70000076,57,37349.15625,J,224
1.27,VS2,F,63.40000153,60,9683.75,D,112
3.03,SI2,J,63.59999847,54,21625.11,J,224
3.63,SI2,F,62.70000076,56,39469.8975,D,224
1.72,SI1,I,58.59999847,59,14085.51,J,224
1.57,SI1,I,58.20000076,61,12126.87625,J,224
1.31,SI1,F,59.90000153,60,8949.92,D,112
1.61,VS1,H,60.70000076,57,16106.44,J,224
1.27,VS1,F,60.90000153,57,9693.43375,D,112
0.92,SI1,E,60.40000153,58,6622.16,J,109
1.02,VS2,H,59.79999924,59,6144.225,D,112
1,VS2,G,57.59999847,60,7152.25,D,112
1.55,VS1,I,61,57,13934.30625,J,224
1.58,VS1,F,61.20000076,56,21926.45,J,224
1.04,VS2,G,61.20000076,60,7438.34,D,112
1.5,VVS2,J,60,57,10705.5,J,224
2,SI1,H,60,59,20258.1,J,109
2.21,SI2,G,61.70000076,59,21771.815,J,224
2.07,SI1,G,63.20000076,55,26122.10625,J,224
3.01,VS2,H,62.29999924,60,35932.477,J,29
0.79,SI1,E,62.90000153,64,4126.26875,J,173
0.71,SI1,G,60.40000153,59,3631.5435,J,29
2.07,VS2,H,61.20000076,57,24417.46125,J,224
1.41,VS1,H,59,62,12116.65875,J,224
1.08,VS2,G,59.70000076,60,7724.43,D,112
2.11,VS2,E,60.29999924,56,33094.55875,J,109
1.08,VS2,I,60.90000153,59,6131.781,J,121
1.08,SI1,F,57.29999924,60,8327.232,J,121
1.08,SI2,F,61.09999847,61,6825.168,J,121
1.08,VS2,G,58.59999847,60,8607.222,J,121
1,VS1,D,61.59999847,60,10354.75,J,224
1.5,SI1,F,58.70000076,63,15166.125,D,224
1.08,VS2,I,62.90000153,58,6719.76,J,121
1.09,VS2,H,62,56,8618.76625,J,224
1.16,VS1,I,60.5,60,7297.125,J,121
1.09,VS2,H,62.90000153,57,7300.602,J,121
3.01,VVS2,I,61.40000153,56,37961.3675,J,224
2.14,VS2,G,60.29999924,57,32781.8575,J,224
1.1,SI1,I,60.20000076,58,5877.96,J,121
3.02,VS2,I,61.79999924,53,32123.3625,J,224
0.55,VS2,G,61.95029831,61,2432.375,I,49
1.1,VS1,I,58.79999924,55,7011.95,J,121
1.08,VS2,H,61.59999847,56,7535.025,J,121
1.16,VS1,H,56.59999847,61,8491.2,J,121
2.09,SI1,F,59.70000076,56,29944.21375,J,224
1.5,VS1,H,62.29999924,61,14102.4375,J,224
1.23,I1,F,58.29999924,59,5417.166,J,121
2.25,SI1,I,62.20000076,56,21136.5,J,224
1.09,SI2,D,62.59999847,57,6615.755,D,112
0.9,VS2,F,64.40000153,60,5352.75,D,112
1.79,VS1,J,61.59999847,59,13143.74625,J,224
2.02,I1,G,,,5236.85,none,137
0.91,VS2,F,64.40000153,60,5412.225,D,112
2.02,I1,G,,,5236.85,none,137
